sentences,replaced
"In the past, she also has experienced upper GI bleeding due to a peptic ulcer and has undergone cholecystectomy as well as lobectomy for carcinoma of the lung","In the past, Lee also has experienced upper GI bleeding due to a peptic ulcer and has undergone cholecystectomy as well as lobectomy for carcinoma of the lung"
She is supposed to be using 28 units in the morning and 8 units in the evening depending on blood sugars,Enrique is supposed to be using 28 units in the morning and 8 units in the evening depending on blood sugars
"She also has been prescribed an ACE inhibitor and a beta blocker, which she has neglected to take","Bernard also has been prescribed an ACE inhibitor and a beta blocker, which Bernard has neglected to take"
She underwent a femoral public TL bypass in December and did well postoperatively,Alvin underwent a femoral public TL bypass in December and did well postoperatively
"She was discharged on simvastatin, Plavix, as well as atenolol and lisinopril","Eduardo was discharged on simvastatin, Plavix, as well as atenolol and lisinopril"
She abandoned all tablets on her own and did not come for her followup appointment with us,Carlos abandoned all tablets on her own and did not come for her followup appointment with us
"Today, she tells me that claudication in the right leg has disappeared completely but during the past two months, she has begun noticing pain in the left leg after 10-15 minutes of walking which forces her to stop","Today, Jaime tells me that claudication in the right leg has disappeared completely but during the past two months, Jaime has begun noticing pain in the left leg after 10-15 minutes of walking which forces her to stop"
She did not have symptoms on the left side at the time,Ronald did not have symptoms on the left side at the time
"Prior to her bypass surgery on the right leg, she underwent a Persantine MIBI which showed only 1 mm ST depressions and was considered not diagnostic","Prior to her bypass surgery on the right leg, Tim underwent a Persantine MIBI which showed only 1 mm ST depressions and was considered not diagnostic"
She denies dysuria,Byron denies dysuria
"PHYSICAL EXAMINATION:  Today, she is pleasant and talkative","PHYSICAL EXAMINATION:  Today, Floyd is pleasant and talkative"
She has not been compliant with her medications,Philip has not been compliant with her medications
She has suffered from peripheral vascular disease and claudication in the past underwent a bypass surgery on the right lower extremity in October of last year,Willie has suffered from peripheral vascular disease and claudication in the past underwent a bypass surgery on the right lower extremity in October of last year
She now has mild symptoms of claudication on the left,Enrique now has mild symptoms of claudication on the left
She continues to consume three or four beers a day,Nicholas continues to consume three or four beers a day
Liver function in the past has been normal and she does not have significant proteinuria,Liver function in the past has been normal and Ralph does not have significant proteinuria
She is also to take a multivitamin q,Philip is also to take a multivitamin q
She will come to see the nurse practitioner in three days' time to learn how to use a glucometer and to review diabetes care,Jerome will come to see the nurse practitioner in three days' time to learn how to use a glucometer and to review diabetes care
"In 2061, after a four to five

day history of retrosternal chest discomfort, she was admitted to

the Barton Memorial Hospital where coronary angiography

revealed a 95% proximal left anterior descending artery stenosis","In 2061, after a four to five

day history of retrosternal chest discomfort, Jimmy was admitted to

the Barton Memorial Hospital where coronary angiography

revealed a 95% proximal left anterior descending artery stenosis"
"She underwent balloon angioplasty of her LAD times two with

inadequate results","Marcus underwent balloon angioplasty of her LAD times two with

inadequate results"
"She therefore was taken electively for

coronary artery bypass graft surgery with placement of a left

internal mammary artery to her LAD","Lawrence therefore was taken electively for

coronary artery bypass graft surgery with placement of a left

internal mammary artery to her LAD"
"She subsequently continued to

have chest discomfort and underwent repeat cardiac catheterization

in May of 2063 at which time coronary angiography revealed a 60%

stenosis in the proximal left anterior descending artery and a 50%

stenosis in the mid right coronary artery","Terry subsequently continued to

have chest discomfort and underwent repeat cardiac catheterization

in May of 2063 at which time coronary angiography revealed a 60%

stenosis in the proximal left anterior descending artery and a 50%

stenosis in the mid right coronary artery"
"Since then, she has continued to have episodes of

intermittent abdominal discomfort","Since then, Paul has continued to have episodes of

intermittent abdominal discomfort"
"She recently has undergone an

extensive evaluation by the gastroenterology service for her

abdominal pain without specific pathology being discovered","Casey recently has undergone an

extensive evaluation by the gastroenterology service for her

abdominal pain without specific pathology being discovered"
"In November of 2068, she underwent a Bruce protocol stress test

exercising for eight minutes to a peak heart rate of 131, peak

blood pressure of 188/82 stopping because of fatigue","In November of 2068, Russell underwent a Bruce protocol stress test

exercising for eight minutes to a peak heart rate of 131, peak

blood pressure of 188/82 stopping because of fatigue"
"She had no

ischemic changes on electrocardiogram","Mark had no

ischemic changes on electrocardiogram"
"Over the past two weeks

however, she has noticed that her chronic abdominal pain syndrome

(which she often describes as feeling like indigestion) now

includes radiation to her left shoulder","Over the past two weeks

however, Tony has noticed that her chronic abdominal pain syndrome

(which Tony often describes as feeling like indigestion) now

includes radiation to her left shoulder"
"She has had a

retrosternal chest pain syndrome for the past several years and her

most recent stress test approximately one year ago did not show

significant provokable ischemia","Don has had a

retrosternal chest pain syndrome for the past several years and her

most recent stress test approximately one year ago did not show

significant provokable ischemia"
"She understands that if she has evidence for

significant provokable ischemia that I would strongly encourage her

to undergo repeat coronary angiography","Randall understands that if Randall has evidence for

significant provokable ischemia that I would strongly encourage her

to undergo repeat coronary angiography"
