sentences,replaced
"In the past, she also has experienced upper GI bleeding due to a peptic ulcer and has undergone cholecystectomy as well as lobectomy for carcinoma of the lung","In the past, Alfano also has experienced upper GI bleeding due to a peptic ulcer and has undergone cholecystectomy as well as lobectomy for carcinoma of the lung"
She is supposed to be using 28 units in the morning and 8 units in the evening depending on blood sugars,Barki is supposed to be using 28 units in the morning and 8 units in the evening depending on blood sugars
"She also has been prescribed an ACE inhibitor and a beta blocker, which she has neglected to take","Elbasana also has been prescribed an ACE inhibitor and a beta blocker, which Elbasana has neglected to take"
She underwent a femoral public TL bypass in December and did well postoperatively,Ekogija underwent a femoral public TL bypass in December and did well postoperatively
"She was discharged on simvastatin, Plavix, as well as atenolol and lisinopril","Sahabaj was discharged on simvastatin, Plavix, as well as atenolol and lisinopril"
She abandoned all tablets on her own and did not come for her followup appointment with us,Pansho abandoned all tablets on her own and did not come for her followup appointment with us
"Today, she tells me that claudication in the right leg has disappeared completely but during the past two months, she has begun noticing pain in the left leg after 10-15 minutes of walking which forces her to stop","Today, Vasco Domingos tells me that claudication in the right leg has disappeared completely but during the past two months, Vasco Domingos has begun noticing pain in the left leg after 10-15 minutes of walking which forces her to stop"
She did not have symptoms on the left side at the time,Sedike did not have symptoms on the left side at the time
"Prior to her bypass surgery on the right leg, she underwent a Persantine MIBI which showed only 1 mm ST depressions and was considered not diagnostic","Prior to her bypass surgery on the right leg, Jaat underwent a Persantine MIBI which showed only 1 mm ST depressions and was considered not diagnostic"
She denies dysuria,Jean Bastien denies dysuria
"PHYSICAL EXAMINATION:  Today, she is pleasant and talkative","PHYSICAL EXAMINATION:  Today, Young Rok is pleasant and talkative"
She has not been compliant with her medications,Om Taha has not been compliant with her medications
She has suffered from peripheral vascular disease and claudication in the past underwent a bypass surgery on the right lower extremity in October of last year,Ezequel has suffered from peripheral vascular disease and claudication in the past underwent a bypass surgery on the right lower extremity in October of last year
She now has mild symptoms of claudication on the left,Ilenimo now has mild symptoms of claudication on the left
She continues to consume three or four beers a day,Nadia-Maria continues to consume three or four beers a day
Liver function in the past has been normal and she does not have significant proteinuria,Liver function in the past has been normal and Mel-B does not have significant proteinuria
She is also to take a multivitamin q,Jimmis is also to take a multivitamin q
She will come to see the nurse practitioner in three days' time to learn how to use a glucometer and to review diabetes care,Djonatan will come to see the nurse practitioner in three days' time to learn how to use a glucometer and to review diabetes care
"In 2061, after a four to five

day history of retrosternal chest discomfort, she was admitted to

the Barton Memorial Hospital where coronary angiography

revealed a 95% proximal left anterior descending artery stenosis","In 2061, after a four to five

day history of retrosternal chest discomfort, Thabza was admitted to

the Barton Memorial Hospital where coronary angiography

revealed a 95% proximal left anterior descending artery stenosis"
"She underwent balloon angioplasty of her LAD times two with

inadequate results","Evangelisto underwent balloon angioplasty of her LAD times two with

inadequate results"
"She therefore was taken electively for

coronary artery bypass graft surgery with placement of a left

internal mammary artery to her LAD","Llambi therefore was taken electively for

coronary artery bypass graft surgery with placement of a left

internal mammary artery to her LAD"
"She subsequently continued to

have chest discomfort and underwent repeat cardiac catheterization

in May of 2063 at which time coronary angiography revealed a 60%

stenosis in the proximal left anterior descending artery and a 50%

stenosis in the mid right coronary artery","Bardes subsequently continued to

have chest discomfort and underwent repeat cardiac catheterization

in May of 2063 at which time coronary angiography revealed a 60%

stenosis in the proximal left anterior descending artery and a 50%

stenosis in the mid right coronary artery"
"Since then, she has continued to have episodes of

intermittent abdominal discomfort","Since then, Buti has continued to have episodes of

intermittent abdominal discomfort"
"She recently has undergone an

extensive evaluation by the gastroenterology service for her

abdominal pain without specific pathology being discovered","Ahmedov recently has undergone an

extensive evaluation by the gastroenterology service for her

abdominal pain without specific pathology being discovered"
"In November of 2068, she underwent a Bruce protocol stress test

exercising for eight minutes to a peak heart rate of 131, peak

blood pressure of 188/82 stopping because of fatigue","In November of 2068, Kaiman underwent a Bruce protocol stress test

exercising for eight minutes to a peak heart rate of 131, peak

blood pressure of 188/82 stopping because of fatigue"
"She had no

ischemic changes on electrocardiogram","Armansyah had no

ischemic changes on electrocardiogram"
"Over the past two weeks

however, she has noticed that her chronic abdominal pain syndrome

(which she often describes as feeling like indigestion) now

includes radiation to her left shoulder","Over the past two weeks

however, Aichata has noticed that her chronic abdominal pain syndrome

(which Aichata often describes as feeling like indigestion) now

includes radiation to her left shoulder"
"She has had a

retrosternal chest pain syndrome for the past several years and her

most recent stress test approximately one year ago did not show

significant provokable ischemia","Kaur-Marcus has had a

retrosternal chest pain syndrome for the past several years and her

most recent stress test approximately one year ago did not show

significant provokable ischemia"
"She understands that if she has evidence for

significant provokable ischemia that I would strongly encourage her

to undergo repeat coronary angiography","Dublas Alexander understands that if Dublas Alexander has evidence for

significant provokable ischemia that I would strongly encourage her

to undergo repeat coronary angiography"
"Record date: 2070-11-04

Neurology EW Resident Consult



ID/CC: 59 RHF decreasing visual acuity





HPI: Ms Uher was doing well until 8/70 when she she was noted to have several ""staring spells","Record date: 2070-11-04

Neurology EW Resident Consult



ID/CC: 59 RHF decreasing visual acuity





HPI: Ms Uher was doing well until 8/70 when Stenden Juma Stenden Juma was noted to have several ""staring spells"
""" At the same time she had increased gait instability leading to admission to SLMC",""" At the same time Yeheyis had increased gait instability leading to admission to SLMC"
She improved and was discharged without treatment or diagnosis,Maisoon improved and was discharged without treatment or diagnosis
At that time she also noticed subtle decline in visual acuity and eye exam confirmed this,At that time Amulungu also noticed subtle decline in visual acuity and eye exam confirmed this
She was told that this was caused by her diabetes,Rasmia was told that this was caused by her diabetes
Her vision continued to worsen and she was treated with laser OS,Her vision continued to worsen and Matllde was treated with laser OS
She reports severe HA in 8/70 but none recently,Nailonga reports severe HA in 8/70 but none recently
